CMDLINE python realtime_serial.py
MEM 381.343750 1675698974.5570
MEM 381.343750 1675698974.6573
MEM 381.343750 1675698974.7577
MEM 381.343750 1675698974.8580
MEM 381.343750 1675698974.9584
MEM 381.343750 1675698975.0587
MEM 381.343750 1675698975.1593
MEM 381.343750 1675698975.2598
MEM 381.343750 1675698975.3604
MEM 381.343750 1675698975.4609
MEM 381.343750 1675698975.5614
MEM 381.343750 1675698975.6617
MEM 381.343750 1675698975.7623
MEM 381.343750 1675698975.8627
MEM 381.343750 1675698975.9631
MEM 381.343750 1675698976.0634
MEM 381.343750 1675698976.1640
MEM 381.343750 1675698976.2645
MEM 381.343750 1675698976.3650
MEM 381.343750 1675698976.4655
MEM 381.343750 1675698976.5661
MEM 381.343750 1675698976.6665
MEM 381.343750 1675698976.7668
MEM 381.343750 1675698976.8670
MEM 381.343750 1675698976.9673
MEM 381.343750 1675698977.0676
MEM 381.343750 1675698977.1679
MEM 381.343750 1675698977.2681
MEM 381.343750 1675698977.3683
MEM 381.343750 1675698977.4686
MEM 381.343750 1675698977.5689
MEM 381.335938 1675698977.6691
MEM 381.343750 1675698977.7693
MEM 381.343750 1675698977.8695
MEM 381.343750 1675698977.9698
MEM 381.343750 1675698978.0701
MEM 381.343750 1675698978.1703
MEM 381.343750 1675698978.2705
MEM 381.343750 1675698978.3709
MEM 381.343750 1675698978.4712
MEM 381.343750 1675698978.5716
MEM 381.343750 1675698978.6719
MEM 381.343750 1675698978.7725
MEM 381.343750 1675698978.8729
MEM 381.343750 1675698978.9733
MEM 381.343750 1675698979.0736
MEM 381.343750 1675698979.1741
MEM 381.343750 1675698979.2746
MEM 381.343750 1675698979.3752
MEM 381.343750 1675698979.4754
MEM 381.343750 1675698979.5758
MEM 381.343750 1675698979.6761
MEM 381.343750 1675698979.7765
MEM 381.343750 1675698979.8770
MEM 381.343750 1675698979.9774
MEM 381.343750 1675698980.0778
MEM 381.343750 1675698980.1783
MEM 381.343750 1675698980.2787
MEM 381.343750 1675698980.3792
MEM 381.343750 1675698980.4797
MEM 381.343750 1675698980.5803
MEM 381.343750 1675698980.6808
MEM 381.343750 1675698980.7814
MEM 381.343750 1675698980.8819
MEM 381.343750 1675698980.9825
MEM 381.343750 1675698981.0829
MEM 381.343750 1675698981.1835
MEM 381.343750 1675698981.2839
MEM 381.343750 1675698981.3843
MEM 381.343750 1675698981.4847
MEM 381.343750 1675698981.5853
MEM 381.343750 1675698981.6857
MEM 381.343750 1675698981.7863
MEM 381.343750 1675698981.8866
MEM 381.343750 1675698981.9871
MEM 381.343750 1675698982.0876
MEM 381.343750 1675698982.1882
MEM 381.343750 1675698982.2889
MEM 381.343750 1675698982.3893
MEM 381.343750 1675698982.4899
MEM 381.343750 1675698982.5902
MEM 381.343750 1675698982.6907
MEM 381.343750 1675698982.7913
MEM 381.343750 1675698982.8918
MEM 381.343750 1675698982.9923
MEM 381.343750 1675698983.0930
MEM 381.343750 1675698983.1936
MEM 381.343750 1675698983.2941
MEM 381.343750 1675698983.3946
MEM 381.343750 1675698983.4951
MEM 381.343750 1675698983.5957
MEM 381.343750 1675698983.6961
MEM 381.343750 1675698983.7968
MEM 381.343750 1675698983.8972
MEM 381.343750 1675698983.9978
MEM 381.343750 1675698984.0984
MEM 381.343750 1675698984.1989
